State,School Name,Location
Abia,Ohabiam Secondary School,Aba
Abia,Umuagbai Secondary School,Aba
Abia,Girls’ Secondary Commercial School,Aba
Abia,National High School,Aba
Abia,"Sacred Heart College, Eziukwu",Aba
Abia,Wilcox Memorial Comprehensive Secondary School,Aba
Abia,Saint Joseph’s College,Aba
Abia,Eziama High School,Aba
Abia,Girls’ High School,Aba
Abia,Iheorji Secondary School,Aba
Abia,Girls’ Technical College,Aba
Abia,"Osusu Secondary School, Osusu",Aba
Abia,"Mercy Girls’ Secondary School, Ogbor Hill",Aba
Abia,"Dority International Secondary School, Umuodu Avenue, Abayi",Aba
Abia,"Stella Maris Secondary School, Uratta",Aba
Abia,Ninlan Demonstration Secondary School,Aba
Abia,Giant Step International Secondary School,Aba
Abia,Saint Anthony Comprehensive Secondary School,Aba
Abia,Holy Ghost Secondary School,Aba
Abia,Faith Tabernacle Comprehensive Secondary School,Aba
Abia,Mater Misericordiae Secondary Technical College,Aba
Abia,Dr. Lady Grace Ngozichukwu Iwuagwu Juniorate,Aba
Abia,New Generation International Secondary School,Aba
Abia,Rich Devos International Secondary School,Aba
Abia,Holy Cross Secondary School,Aba
Abia,Holy Family Model Secondary School,Aba
Abia,Juval Comprehensive Secondary School,Aba
Abia,Maxi Comprehensive College,Aba
Abia,Prize Mates Model Academy,Aba
Abia,Practical Computer Comprehensive Secondary School,Aba
Abia,Intellectual Giants Christian Academy,Aba
Abia,Rubeth International Christian Secondary School,Aba
Abia,Modern Child College,Aba
Abia,"Standard Comprehensive High School, Ehere",Aba
Abia,Ulasi Road Girls’ Secondary School,Aba
Abia,"Victory College International, Obohia",Aba
Abia,"Heritage Comprehensive Secondary School, Ariaria",Aba
Abia,Saint James Model Secondary School,Aba
Abia,Major Model Secondary School,Aba
Abia,Rock House College,Aba
Abia,"Premier International Secondary School, Ikot-Ekpene Road",Aba
Abia,Cornerstone International Secondary School,Ogbor-Hill
Abia,"Emmanuel International Secondary School, Ogbor-Hill",Aba
Abia,"Foundation Secondary School, Umungasi",Aba
Abia,Unique Christian High School,Aba
Abia,Sword Of God Model School Academy,Aba
Abia,Santana Rhetorical International School,Aba
Abia,Unity Secondary School,Aba
Abia,God’s Intervention Academy,Aba
Abia,Tina’s Day Secondary School,Aba
Abia,Divine Grace International Secondary School,Aba
Abia,St. Joseph Comprehensive Secondary School,Aba
Abia,Lilac Comprehensive Secondary School,Aba
Abia,Mothercare International Secondary School,Aba
Abia,Blessing International Secondary School,Aba
Abia,Immaculate Child Academy Secondary School,Aba
Abia,Oriental Comprehensive Secondary School,Aba
Abia,Methodist High School,Aba South
Abia,Southland Secondary School,Aba South
Abia,Nnamdi Azikwe Model Secondary School,Aba North
Abia,Ugo Comprehensive Secondary School,Aba
Abia,Peterfranklin Secondary School,Aba North
Abia,God’s Own Academy,Aba
Abia,Solid Foundation International Secondary School,Aba
Abia,The Presbyterian Secondary School Aba,Unknown
Abia,Friedel Kropf’s Educational Centre,Aba
Abia,Sir Patrick’s Memorial School,Aba
Abia,United Evangelical High School,Aba
Abia,Ifeanyichukwu International Secondary School,Aba
Abia,Better Result Christian College,Aba
Abia,"Mater Misericordiae Secondary Technical College, Iheorji",Aba
Abia,"Christ The King Cathedral Secondary School, Asa",Aba
Abia,Merit Base International Christian College,Aba
Abia,Shammah Christian College,Aba
Abia,Confidence Academy Secondary School,Aba
Abia,Wisdom International Secondary School,Aba
Abia,High Grade Model Academy,Aba
Abia,Holyland International Standard Secondary School,Aba
Abia,Great Brains Academy Secondary School,Aba
Abia,St. Jude’s Secondary School,Aba
Abia,Global Kids International Secondary School,Aba
Abia,Divine Wisdom Secondary School,Aba
Abia,Benneth International Christian Secondary School,Aba
Abia,Marymel High School,Aba
Abia,Mayfield Secondary School,Aba
Abia,"All Saints Comprehensive Secondary School, Obohia Rd",Aba
Abia,Total Knowledge International School Of Arts & Science,Aba
Abia,James Okwandu Memorial Secondary Technical College,Onicha Ngwa
Abia,Oasis Christian Academy Secondary School,Amaorji Nkwn
Abia,Jet Age Private Secondary School,Amapu
Abia,Great Omega College,Aba
Abia,Shekinah Model Academy,Aba
Abia,Giant Step International Secondary School Two,Aba
Abia,Global Academy Secondary School,Aba
Abia,"Sound Base Academy, Ogbor-Hill",Aba
Abia,"Sure Foundation Academy, Ogbor-Hill",Aba
Abia,Providence International Secondary School,Aba
Abia,Aggrey Memorial College,Arochukwu
Abia,Achara Secondary School,Ihechiowa
Abia,"Ovukwu Abam Secondary School, Atan",Abam
Abia,Isu Secondary Commercial School,Isu
Abia,Ututu Secondary Commercial School,Ututu
Abia,"Abam High School, Ozu",Abam
Abia,Ihechiowa High School,Ihechiowa
Abia,Mary Slessor Secondary Technical School,Arochukwu
Abia,Ututu Secondary School,Arochukwu
Abia,Umunnabuo Secondary Technical School,Ihechiowa
Abia,Ohaeke Secondary School,Idima-Abam
Abia,"Ututu Secondary Technical School, Obiene",Arochukwu
Abia,"Okpo Secondary School, Ihechiowa",Arochukwu
Abia,Onyerubi Comprehensive Secondary School,Ndi Oji Abam
Abia,Uruji Comprehensive Secondary School,Amuru Abari
Abia,Comprehensive Secondary School Amuvi,Arochukwu
Abia,Ugwuakuma International Secondary School,Arochukwu
Abia,Kolping International College,Ozuabam Arochukwu
Abia,Madonna Secondary School,Ugwuakuma
Abia,Methodist College,Uzuakoli
Abia,Girls’ Secondary School,Uzuakoli
Abia,Comprehensive Secondary School,Okoko Item
Abia,"Comprehensive Secondary School, Ndiwo",Itumbuzo
Abia,"Community Secondary School, Amazu",Umuhu Ezechi
Abia,"Mercy Seminary, Etiti Ulo",Bende
Abia,Item Community High School,Item
Abia,Igbere Secondary School,Igbere
Abia,Ozuitem Secondary School,Ozuitem
Abia,Secondary Grammar School,Bende
Abia,"Umuimenyi Secondary Technical School, Amaohuru",Nkpa
Abia,Alayi Secondary Commercial School,Alayi
Abia,Uzuakoli Secondary School,Uzuakoli
Abia,Ugwueke Secondary School,Ugwueke
Abia,Senior Science School,Alayi
Abia,Mercy Juniorate,Ndiwo-Itumbuzo
Abia,Isiala Community Secondary School,Akoli Imenyi
Abia,Seat Of Wisdom Secondary School,Amaeke Item
Abia,"Ubibia High School, Ubibia",Bende
Abia,St. Christopher Methodist Seminary,Uzuakoli
Abia,St. Anthony Comprehensive Secondary School,Alayi
Abia,Ugwunkpa Community Secondary School,Bende
Abia,"Community Secondary School, Okporoenyi",Bende
Abia,Wesley Methodist Seminary,Ndoro
Abia,Oboro Secondary School,Ikwuano
Abia,Ikwuano Secondary School,Ariam
Abia,Azuiyi Oloko Secondary School,Ikwuano
Abia,Ibere Comprehensive Secondary School,Ikwuano
Abia,"Community Secondary School, Ntalakwu",Oboro
Abia,"Senior Science School, Ariam",Ikwuano
Abia,Awom Naebo Secondary Technical School,Awom-Oboro Ikwuano
Abia,Midtown Comprehensive Secondary School,Nchara Oloko
Abia,Methodist Comprehensive Secondary School,Ndieke-Okoro Ikwuano
Abia,"Community Senior Grammar School, Oloko",Ikwuano
Abia,"Ogbuebulle Community Secondary School, Oboro",Ikwuano
Abia,Nnono High School,Oboro-Ikwuano
Abia,"Community Secondary School, Ihim, Ibere",Ikwuano.
Abia,Ambassador’s Model College,Obiohia
Abia,Umuoha Secondary School,Umuoha
Abia,Umunna Comprehensive Secondary School,Umuosu Nsulu
Abia,Ama-Asaa Secondary Technical School,Nsulu
Abia,Grammar School,Nbawsi
Abia,Secondary Technical School,Amapu Ntigha
Abia,Ihie High School,Ihie
Abia,"Girls’ High School, Umunkolo",Mbawsi
Abia,Mercy Juniorate,Ntigha
Abia,Secondary Technical School,Ngwa-Ukwu
Abia,Ntigha Secondary Grammar School,Ntigha
Abia,Ohuhu Nsulu Secondary School,Isiala Ngwa
Abia,Abia State Senior Science School,Ihie
Abia,Saint Augustine’s Anglican Seminary,Nbawsi
Abia,Our Lady Comprehensive Secondary School,Umueleghele
Abia,"Gabek International Secondary School, Nbawsi",Isiala-Ngwa North
Abia,St. Jude’s Comprehensive Secondary School,Ahiaba Ubi
Abia,"Holy Family Secondary School, Osusu",Isiala Ngwa
Abia,Zenith Comprehensive Secondary School,Nbawsi
Abia,Sacred Heart Senior Secondary School,Eziama Ntigha
Abia,St. Jude’s International Comprehensive Secondary School,Isiala Ngwa North
Abia,St. Catherine’s International Comprehensive Secondary School,Isiala Amapu Ntigha
Abia,St. David Comprehensive College,Uratta Umuoha
Abia,Friends College,Nbawsi
Abia,Erudite Model Schools,Aba South
Abia,St. Peters Model Secondary School,Aba North
Abia,Impressive Model Secondary School,Mbawsi
Abia,Intellectual Foundation Secondary School,Isialangwa
Abia,Nchewa Bernard Secondary School,Umuode
Abia,Victory Comprehensive College,Mbawsi
Abia,Community Secondary School,Isialangwa
Abia,Firm Foundation Secondary School,Umunna Nsulu
Abia,Ndiolumbe Comprehensive Secondary School,Ndiolumbe
Abia,Ovungwu Secondary School,Umuapu
Abia,"Okporo Ahaba Secondary School, Umuajuju",Isiala Ngwa
Abia,Girls’ Secondary School,Owerrinta
Abia,Annunciation Seminary,Amaudara
Abia,Saint Ephraim’s Secondary School,Owerrinta
Abia,Nvosi High School,Umunkpeyi
Abia,Mbutu Ngwa Secondary School,Mbutungwa
Abia,Ovuokwu/Omoba Secondary School,Omoba
Abia,"Nneisi Community Secondary School, Nneisi",Umuezu
Abia,"Amano Secondary Technical School, Amaede",Ovungwu
Abia,Adventist Secondary Technical College,Owerrinta
Abia,Lucy Memorial Secondary School,Amairi
Abia,"Evangel Demonstration Secondary School, Umuene",Isiala Ngwa South
Abia,St. Anthony Comprehensive Secondary School,Nbawsi
Abia,Holyland Christian College,Isiala Ngwa
Abia,Eze Memorial Comprehensive Secondary School,Isieketa-Omoba
Abia,"St. Michael’s Secondary School, Umuacha",Isiala Ngwa
Abia,Glorious Comprehensive Secondary School,Owerrinta
Abia,High Standard Secondary School,Ndiolumbe
Abia,Monsignor Ahunaya Memorial Secondary School,Amapu Umuoha
Abia,Ene’s Comprehensive Secondary School,Owerrinta
Abia,St. Vincent Catholic Secondary School,Aga
Abia,Seat Of Wisdom Secondary School,Isiala Ngwa
Abia,Living Bread International Secondary School,Umuoleke Isiala Ngwa
Abia,Samec International Secondary School Obekwesu,Unknown
Abia,"Charity International Secondary School, Amuke",Isiala-Ngwa
Abia,First Class Comprehensive Secondary School,Omoba
Abia,The Lords International Secondary School,Omoba
Abia,Christian Intellectual Academy,Isialangwa
Abia,Immaculate Comprehensive Secondary School,Umuagu
Abia,Model Secondary School,Umuikaa
Abia,Secondary Technical School,Ovim Isuikwuato
Abia,Acha Secondary School,Isuikwuato
Abia,Uturu Secondary School,Uturu
Abia,Eluama Secondary School,Isuikwuato
Abia,"Central Oguduasa Secondary School, Ovim",Isuikwuato
Abia,Ahaba Imenyi Secondary School,Isuikwuato
Abia,Isuikwuato High School,Isuikwuato
Abia,Marist Comprehensive Academy,Uturu
Abia,Girls’ (model) Secondary School,Ovim
Abia,Marist Brothers’ Juniorate,Uturu
Abia,Nunya Community Secondary School,Isuikwuato
Abia,"International Secondary School, Abia State University",Uturu
Abia,"Acha Secondary Technical School, Acha",Isuikwuato
Abia,Achara Uturu Secondary School,Uturu
Abia,Mbaugwu Community Secondary School,Uturu
Abia,Queen Of Apostle’s Secondary Technical School,Isuikwuato
Abia,"Assumption Model Secondary Technical School, Ukwunwangwu",Uturu
Abia,Fatima Secondary Technical School,Isuikwuato
Abia,Wesley Comprehensive College,Isuikwuato
Abia,"Kolping International College, Ozuabam",Arochukwu
Abia,"Holy Cross High School, Uturu",Isuikwuato
Abia,All Saints Methodist Comprehensive Secondary School,Uturu
Abia,Akanu Ohafia Secondary School,Ohafia
Abia,Army Day Secondary School,Ohafia
Abia,Isiama Comprehensive Secondary School,Okagwe
Abia,Enuda High School,Abiriba
Abia,"Coronata Secondary School, Asaga",Ohafia
Abia,"Saint Anthony’s Secondary School, Amaekpu",Ohafia
Abia,Ohafia High School,Ebem Ohafia
Abia,Egwuena Girls’ Secondary School,Abiriba
Abia,Ohafia Girls’ Secondary School,Ohafia
Abia,Nkporo Comprehensive Secondary School,Nkporo Ohafia
Abia,"Okamu Secondary Commercial School, Okamu",Ohafia
Abia,Onarubi Secondary Technical School,Abiriba
Abia,Hope Waddell International Secondary School,Ohafia
Abia,"Secondary Technical School, Amangwu",Ohafia
Abia,Etitiama High School,Nkporo
Abia,"Secondary Commercial School, Elughu Nkporo",Ohafia
Abia,"Nkporo Secondary Technical School, Amurie-Nkporo",Ohafia
Abia,Reinhold International Secondary School,Abiriba
Abia,Collins Memorial College,Elu Ohafia
Abia,Federal Government College,Ohafia
Abia,Isiugwu Ohafia Comprehensive Secondary School,Ohafia
Abia,Valley View College,Ohafia
Abia,Girls’ Secondary School,Asaga-Ohafia
